,meta_log2FC,meta_SE,meta_z,meta_pvalue,meta_padj,n_datasets,n_concordant,frac_concordant,replicated
4306,-0.21372772294991357,0.042093317149507675,-5.077473989298402,3.82485848534539e-07,2.439120664130459e-06,4,4,1.0,True
56061,0.10740774329324254,0.02115865494127715,5.076302987658598,3.848494387565351e-07,2.4531758378448285e-06,4,3,0.75,True
23047,-0.15199578006905445,0.029944430345216204,-5.0759282549963975,3.856087845926107e-07,2.4569975396234523e-06,4,4,1.0,True
7957,-0.10694869013402039,0.021070185372303603,-5.075830527556849,3.8580705381031967e-07,2.4572425237504824e-06,4,3,0.75,True
400831,-0.30097811247773915,0.059303355212317235,-5.075229072624652,3.8702945184376977e-07,2.464007379750708e-06,3,2,0.6666666666666666,True
54828,0.19133460916361586,0.03770969488718862,5.073883778057809,3.897771749645997e-07,2.4804735368711593e-06,3,3,1.0,True
3257,-0.13612323801234866,0.02683527375469897,-5.072548886836413,3.9252225126452567e-07,2.4969092317716516e-06,3,3,1.0,True
1891,-0.1637045953634323,0.03228469679312232,-5.070656119598641,3.9644654668900804e-07,2.520829468711124e-06,4,3,0.75,True
26515,-0.1382651630882355,0.027279595729045245,-5.068446191855448,4.0107632780098173e-07,2.549213947887596e-06,4,4,1.0,True
473,-0.1461075870391666,0.02882740532250064,-5.068357190132728,4.0126387435239075e-07,2.5493520942843004e-06,3,3,1.0,True
283229,0.15976385667874865,0.031522760744013514,5.068206366064857,4.015818876447328e-07,2.5503186792803663e-06,4,4,1.0,True
5201,-0.11869136155783401,0.023419503126779446,-5.068056350952821,4.018984364810498e-07,2.551275169651586e-06,4,4,1.0,True
11278,0.19505365396293425,0.03849073025198431,5.067548801646304,4.029712091507515e-07,2.5570294431253833e-06,4,3,0.75,True
90427,0.30301030420001257,0.059816460802343784,5.065667545949823,4.0697164423976615e-07,2.581348609812873e-06,3,3,1.0,True
9760,-0.26427532936667913,0.05217605020789336,-5.065069669200424,4.082510162701864e-07,2.5883956186202543e-06,3,3,1.0,True
29887,-0.27657932266667945,0.05461334470881606,-5.064317597490639,4.0986585547095254e-07,2.597562872162364e-06,4,3,0.75,True
160364,-0.34899762702415277,0.06894286650024775,-5.062128175696011,4.1460211935384577e-07,2.6255528927265913e-06,4,3,0.75,True
81545,-0.14772781734443002,0.02918300453523728,-5.06211816422311,4.146238974660269e-07,2.6255528927265913e-06,3,3,1.0,True
11231,0.1390373250818939,0.02747012896934227,5.061400521164824,4.161878760440898e-07,2.6343715908513297e-06,4,2,0.5,False
163732,-0.39223921947865714,0.07751681085523893,-5.060053621286819,4.191385906667012e-07,2.651957132304745e-06,3,3,1.0,True
159195,-0.10609200314044111,0.020974555481799998,-5.058128799559021,4.2339044167226304e-07,2.6777573182686322e-06,4,4,1.0,True
3270,0.1626318661650979,0.032170928797056686,5.055243110667575,4.29842859782082e-07,2.7174481781042398e-06,4,4,1.0,True
81618,0.20705382957127874,0.04096278713898781,5.054681188287791,4.3111030953005793e-07,2.724340735316334e-06,4,3,0.75,True
655,0.1470238544228577,0.02908863050496696,5.054340884069911,4.3187963828849205e-07,2.7280811169620235e-06,4,4,1.0,True
79962,0.2026454265902201,0.04009969476446293,5.053540376816238,4.3369457795837765e-07,2.738420589778257e-06,4,4,1.0,True
211,-0.16587979203203732,0.03282774926398681,-5.053035792923314,4.3484236762914664e-07,2.744540805541104e-06,4,3,0.75,True
10573,-0.11695886875000973,0.023152341335016657,-5.051708034950046,4.378766708411307e-07,2.7625579869439414e-06,4,4,1.0,True
60682,-0.12005306979066273,0.023765813622443652,-5.051502620439999,4.383479219033969e-07,2.7643967593374596e-06,4,4,1.0,True
4053,0.14525280002932842,0.02876003370900283,5.050508685038833,4.406350755585529e-07,2.777681134363571e-06,4,4,1.0,True
5058,0.1709276998796769,0.03384664449564161,5.050063379301515,4.416635028376803e-07,2.783023096774318e-06,4,4,1.0,True
84033,-0.1379985168169669,0.02732977875499713,-5.049382874778468,4.432395927454826e-07,2.7918102164939755e-06,4,4,1.0,True
9791,-0.11653304797186133,0.023097857063364015,-5.045188722580537,4.5307394313590805e-07,2.8525847156898386e-06,4,4,1.0,True
79872,-0.1691711589808813,0.03353993526543396,-5.043872554972639,4.5620321539845964e-07,2.871111107962062e-06,4,4,1.0,True
139716,-0.17248095843925393,0.03420424522804168,-5.042676933500898,4.5906394500083004e-07,2.8879329600604587e-06,4,3,0.75,True
9529,-0.11890106998950188,0.023582025004146266,-5.042021199137746,4.6064024146157446e-07,2.896664095080453e-06,4,4,1.0,True
55629,-0.20165459569006167,0.03999590689359348,-5.041880816118276,4.6097838104672344e-07,2.897605318312908e-06,3,3,1.0,True
57115,0.16627817477879758,0.032982764331952644,5.0413656388925725,4.6222133750373314e-07,2.904230921176909e-06,3,3,1.0,True
22818,-0.17950463721218105,0.03561977395925192,-5.039465927479765,4.6683272703421817e-07,2.930928934254033e-06,3,3,1.0,True
55863,-0.14418017899360686,0.028610254275614273,-5.039458146881893,4.668517047146749e-07,2.930928934254033e-06,4,4,1.0,True
84892,0.14906608391172732,0.029584923830317144,5.038582649956728,4.6899189139093905e-07,2.9431634000553827e-06,4,3,0.75,True
84671,-0.1633358121617059,0.032425449381259935,-5.03727212046303,4.722132269064498e-07,2.961043283293985e-06,4,4,1.0,True
11140,-0.15114936294700612,0.03000622507934772,-5.0372668520385515,4.7222621987881954e-07,2.961043283293985e-06,3,3,1.0,True
165545,0.17706802311708297,0.035154971462426056,5.036784720657073,4.734167115951902e-07,2.9672979783025064e-06,4,4,1.0,True
55147,-0.1004614905405487,0.019951468036819374,-5.0352931601400135,4.771180713660433e-07,2.989278870111213e-06,4,4,1.0,True
84451,-0.11002352976847746,0.021853146361824505,-5.0346768353997176,4.786556384449383e-07,2.9976906073690133e-06,4,3,0.75,True
1902,0.22514902913657966,0.04472468323912386,5.0341112072902465,4.8007093555615e-07,3.005330062775165e-06,4,3,0.75,True
