probe,log2FoldChange,pvalue,padj
200656_s_at,-0.02037530094254869,0.865129262103983,0.9388617617326774
200657_at,-0.21347549090955908,0.12574618335822793,0.34056536475971794
200658_s_at,-0.2654497252967616,0.015771652532410998,0.10157559785278292
200659_s_at,-0.3313879267548021,0.03389233971695033,0.1617203761468644
200660_at,0.2831405380603389,0.1094273338600509,0.3158100350218254
200661_at,0.09696426245466938,0.6699555584824013,0.8331632832717574
200662_s_at,-0.17916858006517344,0.18804016151718655,0.42895779072092577
200663_at,-0.3576993109459661,0.00273496637776187,0.03766579468211852
200664_s_at,-0.5187307946728836,0.026582214018290647,0.13897969849121786
200665_s_at,0.02030721346362263,0.9264495683540639,0.9687506209119477
200666_s_at,-0.09836898633164992,0.5331674123001692,0.7443965819727236
200667_at,-0.03278384634788978,0.7905654770528051,0.899310065111798
200668_s_at,-0.15943396735286264,0.18082826572499477,0.4188704514240653
200669_s_at,-0.09932964737466321,0.5460453860475553,0.7535007020868016
200670_at,1.0395452844146753,0.017581416679805076,0.10864301383141889
200671_s_at,-3.818556908843413,4.011806992486184e-06,0.0011762512528101267
200672_x_at,-0.2774869204611683,0.2016350240428557,0.4457374246772771
200673_at,-0.2936238085553704,0.004173108753202787,0.047711330091132736
200674_s_at,-0.3761519411254479,0.0011054942035054847,0.02300264425606589
200675_at,-0.24486183363734604,0.01685007950067768,0.10562152716237301
200676_s_at,0.2881624419025606,0.05595409596369754,0.21575101580880296
200677_at,0.34951347886789286,0.0007027903619810792,0.017675256925535426
200678_x_at,0.08450585125203602,0.6759324630055886,0.8373716057793702
200679_x_at,-0.26037007252921107,0.025634349291338916,0.13605947412552472
200680_x_at,-0.13179115711210265,0.05825251059887949,0.2203359118213725
200681_at,0.05580197862659553,0.5891818405415705,0.7820311503924122
200682_s_at,-0.11743909648706463,0.26383582203620587,0.5149836740042726
200683_s_at,0.1034643041430634,0.31718424444730453,0.5681981283880768
200684_s_at,0.14369418835315173,0.27715654648804694,0.5292552339869012
200685_at,0.07072018191657126,0.8366974773249906,0.9251312388747208
200686_s_at,-0.15605160637008808,0.5606294497319273,0.7629943216500664
200687_s_at,-0.0544781002802921,0.6241582720564625,0.8040304530138833
200688_at,-0.18793658160369198,0.1666027632306834,0.4003892766468204
200689_x_at,-0.39080832534433263,0.00106787522777462,0.02262692979356806
200690_at,0.053119413386808034,0.8208116298858918,0.9165695589449927
200691_s_at,-0.24397409139271176,0.16041365910295688,0.39189755134208837
200692_s_at,-0.36751898348503964,0.10335459237862814,0.3059965006095866
200693_at,0.01684956380416658,0.8824230208367824,0.9473808899751069
200694_s_at,-0.3460373217249817,0.011999044175918825,0.08592860847530352
200695_at,-0.29876578036924784,0.013658158338992072,0.09307178662622641
200696_s_at,-0.4568537503171193,0.09319576113596639,0.28786819315119755
200697_at,-0.005518693873723279,0.9748725971856415,0.9898928480942573
200698_at,-0.15643636786433746,0.23451613991563355,0.4818485101457977
200699_at,0.09975932406078236,0.4151102403427987,0.6540257633147453
200700_s_at,0.16841773645766978,0.23331957443988713,0.4805934624925129
200701_at,0.00017236849774882046,0.9991006180616852,0.9992328944890746
200702_s_at,-0.9746626419853399,0.0021116655229455475,0.03242883724865309
